device_id,device_name,device_type,timestamp,temperature,humidity,distance,motion,servo_state,led_states,tx_bytes,rx_bytes,connections,status,alert_type,severity,label
led-green-001,Green LED Indicator,actuator,2025-01-01 16:21:37,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,temperature_anomaly,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 06:03:16,23.2,52.43,11.3,False,open,"{'red_led': np.False_, 'green_led': np.False_}",6156,7305,1,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 15:55:19,24.89,49.26,191.61,False,,,0,0,0,offline,temperature_anomaly,medium,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 16:22:28,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,motion_detected,low,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 09:09:29,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,offline,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 01:35:05,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,distance_alert,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 00:20:58,27.48,70.04,60.12,False,moving,"{'red_led': np.True_, 'green_led': np.False_}",3969,1108,3,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 22:01:14,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 16:13:40,24.41,52.42,113.2,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 00:36:17,24.29,48.77,158.49,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 05:58:59,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 09:55:00,23.63,42.35,182.14,True,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 05:45:52,19.27,60.23,82.0,True,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 17:52:58,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 10:21:44,28.93,60.68,144.29,False,moving,"{'red_led': np.False_, 'green_led': np.True_}",6359,3365,4,online,motion_detected,low,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 11:19:12,21.12,48.39,27.88,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 19:01:21,31.05,78.99,57.63,False,moving,"{'red_led': np.False_, 'green_led': np.True_}",8750,5100,2,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 09:44:39,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,offline,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 10:25:08,28.98,60.71,165.11,False,closed,"{'red_led': np.False_, 'green_led': np.True_}",1653,9094,4,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 19:14:35,31.39,61.83,163.91,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 17:49:10,26.32,47.73,16.25,False,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 00:36:51,23.77,70.97,89.8,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 18:39:44,20.91,71.68,132.47,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 14:03:26,19.64,55.71,36.58,False,moving,"{'red_led': np.True_, 'green_led': np.False_}",5233,1788,3,online,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 12:37:31,24.73,57.87,142.53,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 07:27:25,19.98,49.39,52.38,True,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 13:22:35,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 23:49:58,29.52,41.84,116.17,False,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 09:48:24,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 11:55:18,27.07,78.55,70.69,False,closed,"{'red_led': np.False_, 'green_led': np.True_}",6287,4912,4,online,distance_alert,medium,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 14:47:24,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,offline,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 03:05:33,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 20:19:25,20.25,58.28,165.55,True,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 09:23:49,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,offline,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 11:44:43,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 19:59:34,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,temperature_anomaly,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 21:35:06,20.82,48.52,18.04,False,moving,"{'red_led': np.True_, 'green_led': np.False_}",6964,9848,1,online,temperature_anomaly,medium,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 12:18:25,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 10:48:08,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 10:40:38,30.35,73.87,30.13,False,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 01:41:20,19.97,73.61,108.75,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 14:36:31,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,motion_detected,low,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 19:22:45,19.19,50.44,117.05,True,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 22:44:37,19.43,60.42,190.06,False,open,"{'red_led': np.False_, 'green_led': np.True_}",1498,7654,3,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 01:48:59,21.01,57.39,19.19,False,closed,"{'red_led': np.True_, 'green_led': np.False_}",4092,6478,1,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 17:23:58,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 20:54:49,19.62,56.62,172.82,False,,,0,0,0,online,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 01:18:43,26.31,72.93,79.49,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 06:51:35,31.68,67.69,33.6,False,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 08:07:22,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 11:10:12,21.69,76.12,170.12,True,moving,"{'red_led': np.False_, 'green_led': np.True_}",7233,8182,3,online,temperature_anomaly,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 14:19:45,24.29,53.78,190.58,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 08:45:41,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,temperature_anomaly,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 06:58:07,26.19,63.76,53.94,False,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 13:00:08,29.32,66.26,120.22,False,,,0,0,0,offline,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 06:59:48,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,temperature_anomaly,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 06:42:04,28.81,75.91,26.82,False,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 04:15:22,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 08:30:42,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 12:36:10,20.51,52.7,38.27,True,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 21:28:33,18.64,57.87,187.29,True,moving,"{'red_led': np.True_, 'green_led': np.False_}",7263,2738,4,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 00:09:27,24.9,61.78,167.59,False,moving,"{'red_led': np.True_, 'green_led': np.True_}",9909,6293,4,online,distance_alert,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 05:26:04,31.35,68.08,90.95,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 22:13:16,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,offline,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 05:50:31,23.47,79.75,94.99,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 07:21:35,27.61,64.92,157.69,True,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 00:20:47,31.88,64.23,119.16,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 06:11:18,31.4,65.03,45.54,True,open,"{'red_led': np.False_, 'green_led': np.True_}",8093,6343,4,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 01:51:09,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 05:56:04,23.73,62.62,125.81,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 10:37:13,28.47,42.68,149.58,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 20:23:42,26.95,67.49,74.65,False,closed,"{'red_led': np.False_, 'green_led': np.True_}",7160,5530,2,offline,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 07:07:26,27.43,72.18,141.99,True,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 08:28:04,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 11:17:08,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 16:30:22,28.52,51.55,151.86,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 12:56:29,31.59,71.65,30.51,True,closed,"{'red_led': np.False_, 'green_led': np.False_}",7550,5115,1,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 03:30:40,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 17:39:38,25.56,77.64,78.15,True,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 20:44:37,30.02,72.18,159.47,False,open,"{'red_led': np.False_, 'green_led': np.False_}",9099,2426,2,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 13:19:23,24.48,56.55,119.88,True,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 04:48:20,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 02:18:54,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 16:08:28,21.08,51.23,182.31,False,,,0,0,0,offline,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 10:14:46,24.31,65.99,170.01,True,,,0,0,0,online,distance_alert,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 01:28:35,23.12,54.64,99.18,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 14:45:00,27.89,45.31,191.31,False,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 23:13:39,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 16:02:35,22.1,59.68,180.08,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 00:48:50,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 09:19:13,20.65,42.45,54.19,True,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 08:01:15,29.15,48.15,37.7,False,open,"{'red_led': np.False_, 'green_led': np.True_}",9363,1002,1,online,motion_detected,low,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 21:03:28,20.95,51.48,28.38,True,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 04:39:05,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 19:15:29,30.73,53.09,120.19,False,,,0,0,0,online,distance_alert,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 16:29:07,18.01,53.07,177.62,False,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 12:58:56,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 09:53:02,28.18,50.72,168.12,False,,,0,0,0,online,distance_alert,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 23:31:58,30.77,74.57,102.58,False,,,0,0,0,online,distance_alert,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 21:15:56,19.07,70.28,20.94,False,moving,"{'red_led': np.True_, 'green_led': np.False_}",2756,3610,3,offline,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 06:27:42,30.99,40.39,180.8,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 17:09:10,20.76,64.23,116.05,True,open,"{'red_led': np.True_, 'green_led': np.True_}",4212,9654,3,offline,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 03:34:04,21.99,75.37,90.16,True,moving,"{'red_led': np.False_, 'green_led': np.True_}",7822,1393,2,offline,distance_alert,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 21:10:36,18.06,45.39,69.68,False,open,"{'red_led': np.True_, 'green_led': np.True_}",6893,5489,1,offline,distance_alert,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 17:45:47,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,motion_detected,low,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 00:46:52,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 07:59:23,23.5,68.61,87.02,False,closed,"{'red_led': np.True_, 'green_led': np.False_}",2227,2158,2,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 10:13:26,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 02:40:01,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 21:30:54,28.63,67.3,18.58,False,open,"{'red_led': np.False_, 'green_led': np.True_}",4798,2785,3,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 13:13:45,21.12,56.87,16.42,True,,,0,0,0,offline,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 08:50:23,23.53,68.6,118.27,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 21:48:11,30.82,66.27,180.09,True,closed,"{'red_led': np.False_, 'green_led': np.False_}",1878,6831,2,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 10:32:25,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,offline,distance_alert,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 00:02:04,18.29,51.8,93.97,False,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 16:58:00,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 09:18:27,27.48,73.06,21.93,True,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 02:03:54,22.55,70.95,54.32,False,,,0,0,0,online,distance_alert,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 15:11:16,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 20:02:14,24.11,78.25,190.5,False,closed,"{'red_led': np.True_, 'green_led': np.False_}",5010,1630,4,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 10:30:23,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 20:30:02,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 17:24:55,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,temperature_anomaly,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 10:26:38,23.06,73.15,43.14,False,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 13:30:11,27.2,42.81,149.99,False,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 00:57:02,31.92,45.26,47.88,True,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 06:14:19,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 04:55:59,31.21,54.54,65.49,True,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 03:02:00,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 03:52:46,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 11:51:13,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,motion_detected,low,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 14:04:49,26.9,53.99,174.04,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 07:32:39,30.92,40.87,133.36,False,,,0,0,0,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 16:20:37,,,,,,"{'red_led': np.False_, 'green_led': np.False_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 12:02:28,27.44,76.05,111.02,True,,,0,0,0,online,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 18:05:56,30.82,74.07,129.67,True,,,0,0,0,online,none,none,normal
led-red-001,Red LED Indicator,actuator,2025-01-01 04:00:10,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 15:56:21,31.15,70.76,32.66,True,,,0,0,0,online,motion_detected,low,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 22:42:23,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 01:19:41,22.24,63.14,151.79,False,,,0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 19:43:05,28.39,55.77,96.68,False,,,0,0,0,online,distance_alert,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 06:41:35,26.28,56.55,157.56,False,moving,"{'red_led': np.False_, 'green_led': np.False_}",1563,8590,3,online,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 11:54:40,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,temperature_anomaly,medium,anomaly
led-green-001,Green LED Indicator,actuator,2025-01-01 16:10:07,,,,,,"{'red_led': np.True_, 'green_led': np.False_}",0,0,0,offline,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 00:21:46,21.73,64.23,136.56,False,moving,"{'red_led': np.False_, 'green_led': np.False_}",7132,4308,2,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 06:48:01,21.77,53.11,123.72,False,moving,"{'red_led': np.False_, 'green_led': np.False_}",3607,9043,3,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 02:00:42,24.7,53.29,93.91,False,,,0,0,0,online,none,none,normal
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 17:30:12,21.51,49.38,124.02,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 08:32:07,30.38,49.24,170.7,False,,,0,0,0,online,none,none,normal
esp32-001,ESP32 Main Controller,esp32,2025-01-01 20:01:22,18.54,76.13,77.94,False,moving,"{'red_led': np.True_, 'green_led': np.False_}",1740,4692,3,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 09:27:19,27.88,74.01,146.6,False,,,0,0,0,offline,none,none,normal
led-green-001,Green LED Indicator,actuator,2025-01-01 10:36:32,,,,,,"{'red_led': np.False_, 'green_led': np.True_}",0,0,0,online,none,none,normal
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 00:53:10,31.15,55.46,119.44,False,,,0,0,0,online,temperature_anomaly,medium,anomaly
led-red-001,Red LED Indicator,actuator,2025-01-01 14:39:36,,,,,,"{'red_led': np.True_, 'green_led': np.True_}",0,0,0,online,temperature_anomaly,medium,anomaly
ultrasonic-001,Ultrasonic Distance Sensor,sensor,2025-01-01 08:19:41,24.47,42.88,149.27,True,,,0,0,0,online,temperature_anomaly,medium,anomaly
esp32-001,ESP32 Main Controller,esp32,2025-01-01 03:09:59,31.45,75.66,11.03,True,moving,"{'red_led': np.False_, 'green_led': np.False_}",9480,9470,1,online,distance_alert,medium,anomaly
dht22-001,DHT22 Temperature/Humidity Sensor,sensor,2025-01-01 12:07:03,26.11,46.14,84.57,True,,,0,0,0,online,none,none,normal
